CoinID,Year,CoinType,Nation
878,2002,20cent,French
879,2002,1cent,French
880,2002,1cent,French
881,2002,2cent,French
882,2002,2cent,French
883,2002,20cent,French
884,2002,20cent,French
885,2002,2euro,French
886,2002,2euro,French
887,2002,1cent,French
888,2002,1cent,French
889,2002,1cent,French
890,2002,10cent,French
891,2002,10cent,French
892,2002,10cent,French
893,2002,20cent,French
894,2002,50cent,French
895,2002,1euro,French
896,2002,1cent,French
897,2002,1cent,French
898,2002,1cent,French
899,2002,1cent,French
900,2002,1cent,French
901,2002,1cent,French
902,2002,1cent,French
903,2002,1cent,French
904,2002,2cent,French
905,2002,5cent,French
906,2002,5cent,French
907,2002,5cent,French
908,2002,10cent,French
909,2002,20cent,French
910,2002,20cent,French
911,2002,20cent,French
912,2002,1cent,French
913,2002,5cent,French
914,2002,10cent,French
915,2002,20cent,French
916,2002,50cent,French
917,2002,50cent,French
918,2002,50cent,French
919,2002,2euro,French
920,2002,2euro,French
921,2002,2euro,French
922,2002,2euro,French
923,2002,1cent,French
924,2002,1cent,French
925,2002,1cent,French
926,2002,1cent,French
927,2002,1cent,French
928,2002,1cent,French
929,2002,1cent,French
930,2002,1cent,French
931,2002,1cent,French
932,2002,2cent,French
933,2002,2cent,French
934,2002,5cent,French
935,2002,5cent,French
936,2002,10cent,French
937,2002,10cent,French
938,2002,20cent,French
939,2002,20cent,French
940,2002,20cent,French
941,2002,20cent,French
942,2002,20cent,French
943,2002,50cent,French
944,2002,50cent,French
945,2002,2euro,French
946,2002,50cent,French
947,2002,1euro,French
948,2002,2euro,French
949,2002,2euro,French
950,2002,10cent,French
951,2002,20cent,French
952,2002,1euro,French
953,2002,2euro,French
954,2002,20cent,French
955,2002,20cent,French
956,2002,2euro,French
957,2002,1cent,French
958,2002,1cent,French
959,2002,1cent,French
960,2002,1cent,French
961,2002,1cent,French
962,2002,2cent,French
963,2002,2cent,French
964,2002,2cent,French
965,2002,5cent,French
966,2002,10cent,French
967,2002,10cent,French
968,2002,10cent,French
969,2002,20cent,French
970,2002,20cent,French
971,2002,50cent,French
972,2002,50cent,French
973,2002,1euro,French
974,2002,1euro,French
975,2002,1euro,French
976,2002,2euro,French
977,2002,1cent,French
978,2002,1cent,French
979,2002,1cent,French
980,2002,2cent,French
981,2002,10cent,French
982,2002,1euro,French
983,2002,10cent,French
984,2002,10cent,French
985,2002,10cent,French
986,2002,10cent,French
987,2002,10cent,French
988,2002,5cent,French
989,2002,5cent,French
990,2002,5cent,French
991,2002,20cent,French
992,2002,20cent,French
993,2002,1euro,French
994,2002,2euro,French
995,2002,2euro,French
996,2002,1cent,French
997,2002,1cent,French
998,2002,2cent,French
999,2002,2cent,French
1000,2002,10cent,French
1001,2002,10cent,French
1002,2002,50cent,French
1003,2002,50cent,French
1004,2002,1euro,French
1005,2002,1cent,French
1006,2002,1cent,French
1007,2002,2cent,French
1008,2002,2cent,French
1009,2002,2cent,French
1010,2002,2cent,French
1011,2002,5cent,French
1012,2002,5cent,French
1013,2002,10cent,French
1014,2002,10cent,French
1015,2002,10cent,French
1016,2002,50cent,French
1017,2002,50cent,French
1018,2002,50cent,French
1019,2002,50cent,French
1020,2002,50cent,French
1021,2002,1euro,French
1022,2002,1euro,French
1023,2002,1euro,French
1024,2002,1euro,French
1025,2002,1euro,French
1026,2002,1euro,French
1027,2002,2euro,French
1028,2002,2euro,French
1029,2002,2euro,French
1030,2002,2euro,French
1031,2002,2euro,French
1032,2002,1cent,French
1033,2002,1cent,French
1034,2002,1cent,French
1035,2002,1cent,French
1036,2002,1cent,French
1037,2002,1cent,French
1038,2002,1cent,French
1039,2002,1cent,French
1040,2002,20cent,French
1041,2002,2euro,French
1042,2002,2euro,French
1043,2002,1cent,French
1044,2002,1cent,French
1045,2002,1cent,French
1046,2002,2cent,French
1047,2002,2cent,French
1048,2002,2cent,French
1049,2002,2cent,French
1050,2002,5cent,French
1051,2002,5cent,French
1052,2002,10cent,French
1053,2002,10cent,French
1054,2002,10cent,French
1055,2002,20cent,French
1056,2002,20cent,French
1057,2002,20cent,French
1058,2002,20cent,French
1059,2002,50cent,French
1060,2002,50cent,French
1061,2002,1euro,French
1062,2002,1euro,French
1063,2002,2euro,French
1064,2002,20cent,French
1065,2002,1euro,French
1066,2002,1euro,French
1067,2002,1euro,French
1068,2002,2euro,French
1069,2002,2cent,French
1070,2002,5cent,French
1071,2002,5cent,French
1072,2002,20cent,French
1073,2002,20cent,French
1074,2002,20cent,French
1075,2002,2cent,French
1076,2002,2cent,French
1077,2002,5cent,French
1078,2002,10cent,French
1079,2002,20cent,French
1080,2002,20cent,French
1081,2002,1euro,French
1082,2002,1euro,French
1083,2002,1euro,French
1084,2002,2euro,French
1085,2002,1cent,French
1086,2002,1cent,French
1087,2002,1cent,French
1088,2002,2cent,French
1089,2002,2cent,French
1090,2002,5cent,French
1091,2002,5cent,French
1092,2002,1cent,French
1093,2002,1cent,French
1094,2002,1cent,French
1095,2002,1cent,French
1096,2002,1cent,French
1097,2002,2cent,French
1098,2002,5cent,French
1099,2002,10cent,French
1100,2002,10cent,French
1101,2002,20cent,French
1102,2002,50cent,French
1103,2002,50cent,French
1104,2002,1cent,French
1105,2002,2cent,French
1106,2002,2cent,French
1107,2002,2cent,French
1108,2002,2cent,French
1109,2002,5cent,French
1110,2002,5cent,French
1111,2002,10cent,French
1112,2002,20cent,French
1113,2002,20cent,French
1114,2002,20cent,French
1115,2002,50cent,French
1116,2002,50cent,French
1117,2002,1euro,French
1118,2002,1euro,French
1119,2002,5cent,French
1120,2002,5cent,French
1121,2002,5cent,French
1122,2002,5cent,French
1123,2002,5cent,French
1124,2002,10cent,French
1125,2002,10cent,French
1126,2002,10cent,French
1127,2002,10cent,French
1128,2002,10cent,French
1129,2002,20cent,French
1130,2002,20cent,French
1131,2002,20cent,French
1132,2002,20cent,French
1133,2002,20cent,French
1134,2002,50cent,French
1135,2002,50cent,French
1136,2002,1euro,French
1137,2002,1euro,French
1138,2002,1euro,French
1139,2002,1euro,French
1140,2002,1euro,French
1141,2002,1euro,French
1142,2002,1euro,French
1143,2002,1euro,French
1144,2002,1euro,French
1145,2002,1euro,French
1146,2002,1euro,French
1147,2002,2euro,French
1148,2002,2euro,French
1149,2002,2euro,French
1150,2002,2euro,French
1151,2002,1cent,French
1152,2002,10cent,French
1153,2002,10cent,French
1154,2002,10cent,French
1155,2002,1cent,French
1156,2002,2cent,French
1157,2002,5cent,French
1158,2002,5cent,French
1159,2002,5cent,French
1160,2002,20cent,French
1161,2002,20cent,French
1162,2002,1euro,French
1163,2002,1euro,French
1164,2002,1euro,French
1165,2002,1euro,French
1166,2002,1euro,French
1167,2002,1euro,French
1168,2002,1euro,French
1169,2002,1euro,French
1170,2002,1euro,French
1171,2002,1euro,French
1172,2002,2euro,French
1173,2002,2euro,French
1174,2002,2euro,French
1175,2002,2euro,French
1176,2002,2euro,French
1177,2002,50cent,French
1178,2002,50cent,French
1179,2002,1euro,French
1180,2002,1euro,French
1181,2002,1euro,French
1182,2002,2euro,French
1183,2002,10cent,French
1184,2002,10cent,French
1185,2002,10cent,French
1186,2002,50cent,French
1187,2002,50cent,French
1188,2002,50cent,French
1189,2002,50cent,French
1190,2002,50cent,French
1191,2002,1euro,French
1192,2002,1euro,French
1193,2002,1euro,French
1194,2002,2euro,French
1195,2002,2euro,French
1196,2002,2euro,French
1197,2002,1cent,French
1198,2002,1cent,French
1199,2002,1cent,French
1200,2002,1cent,French
1201,2002,2cent,French
1202,2002,2cent,French
1203,2002,2cent,French
1204,2002,2cent,French
1205,2002,2cent,French
1206,2002,2cent,French
1207,2002,5cent,French
1208,2002,5cent,French
1209,2002,5cent,French
1210,2002,5cent,French
1211,2002,10cent,French
1212,2002,10cent,French
1213,2002,10cent,French
1214,2002,10cent,French
1215,2002,10cent,French
1216,2002,10cent,French
1217,2002,10cent,French
1218,2002,10cent,French
1219,2002,10cent,French
1220,2002,10cent,French
1221,2002,10cent,French
1222,2002,20cent,French
1223,2002,20cent,French
1224,2002,20cent,French
1225,2002,50cent,French
1226,2002,50cent,French
1227,2002,50cent,French
1228,2002,1euro,French
1229,2002,1euro,French
1230,2002,1cent,French
1231,2002,1cent,French
1232,2002,1cent,French
1233,2002,5cent,French
1234,2002,5cent,French
1235,2002,10cent,French
1236,2002,10cent,French
1237,2002,10cent,French
1238,2002,10cent,French
1239,2002,5cent,French
1240,2002,5cent,French
1241,2002,5cent,French
1242,2002,5cent,French
